time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Bollinger Bands %B,Bollinger Bands Width,ROC,K,D,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band
2011-12-01T00:00:00Z,3.46,3.48,3.3,3.42,233.78003348,99.01318108250001,0.13603962667142444,-0.1526511414013978,-0.28869076807282223,55.58792641750301,43.35416358327298,NaN,NaN,0.890688341872873,0.5167743995001081,44.303797468354425,91.62676056816936,81.7873272564217,58.52611895051005,41.1157648223449,NaN,NaN
2011-12-02T00:00:00Z,3.45,3.45,3.04,3.04,131.75704022,99.5176444365,0.12685915948285365,-0.13011681871925518,-0.2569759782021088,49.53201579661904,43.81357481466397,NaN,NaN,0.6458298199921001,0.5023447210666516,35.111111111111114,90.15766339453893,87.44074739344491,50.46795591395756,40.995962623734876,NaN,NaN
2011-12-03T00:00:00Z,2.93,2.93,2.93,2.93,0.5,96.2709444365,0.10977771166027991,-0.11975383862675892,-0.22953155028703884,47.90506583470504,44.164985708000735,NaN,NaN,0.5852410428634189,0.483598718975756,13.127413127413138,77.67113499566229,86.48518631945687,44.88440308660627,40.917289174249035,NaN,NaN
2011-12-05T00:00:00Z,2.82,2.99,2.82,2.93,207.3632656,106.49960771650001,0.0954092573736795,-0.11026997856993948,-0.20567923594361898,47.90506583470504,44.89518825468033,NaN,NaN,0.6074459903213216,0.45651958979995144,-2.333333333333328,65.18460659678564,77.67113499566229,40.24066498721229,40.9458903588849,NaN,NaN
2011-12-06T00:00:00Z,2.9,3.25,2.89,2.98,216.10928902,115.83059455550001,0.08646789918647618,-0.09759436196052373,-0.18406226114699992,48.791761762452325,45.73886086564543,NaN,NaN,0.6736744853889337,0.42647254353785763,8.363636363636363,63.98151265535693,68.94575141593496,46.60231310106802,41.82981047724185,NaN,NaN
2011-12-07T00:00:00Z,3.05,3.35,3.05,3.3,233.20920018,118.32105456450002,0.09843055186298488,-0.06102407131826881,-0.1594546231812537,54.168378729451206,47.0112260113213,NaN,NaN,0.8926709183434387,0.4377074847434312,19.133574007220208,74.1609287059885,67.77568265271037,52.76838804454012,43.5029115263033,NaN,NaN
2011-12-08T00:00:00Z,3.27,3.5,2.95,3.3,115.71772709,119.23986032900002,0.10222233599042935,-0.031676703193217026,-0.13389903918364637,54.168378729451206,48.37481061469134,NaN,NaN,0.8508830175712434,0.44305987206230146,24.060150375939838,83.32099282421369,73.82114472851974,46.489789103742126,45.02351993623659,NaN,NaN
2011-12-10T00:00:00Z,3.2,3.2,3,3.2,12.284375,119.57324574550003,0.09407925465482117,-0.016299970865119917,-0.11037922551994109,52.182672627129215,49.14763463897581,NaN,NaN,0.757865935022073,0.45193534356222337,17.64705882352941,85.0103861114406,80.83076921388096,41.60875098160942,45.54844737398491,NaN,NaN
2011-12-11T00:00:00Z,3.17,3.37,3.17,3.27,157.77889484,126.61125904950002,0.08951708184052276,0.0015171267807123634,-0.0879999550598104,53.468546797304455,49.544557593321166,NaN,NaN,0.7912719647163367,0.4649148667587903,2.5078369905956137,81.49443917699672,83.27527270421703,46.80773369304107,45.96920957038285,NaN,NaN
2011-12-12T00:00:00Z,3.37,3.6,3.37,3.48,75.61897495,125.97020779700001,0.09616895514872832,0.0322112388761,-0.06395771627262832,57.188043574242045,50.440982733831255,NaN,NaN,0.8969410987038201,0.4739212253290862,1.7543859649122824,84.82090345764817,83.77524291536186,52.47708530771208,47.09918583632298,NaN,NaN
2011-12-13T00:00:00Z,3.25,3.59,3.25,3.56,66.15055522,126.8341293805,0.10098538832576814,0.06227401913458186,-0.038711369191186284,58.54743448173753,51.411366088893665,NaN,NaN,0.9067297663918882,0.47311530803569213,17.105263157894736,94.17694071731107,86.83076111731869,58.17261035318422,48.153535849263584,NaN,NaN
2011-12-14T00:00:00Z,3.42,3.49,3.42,3.47,90.7647307,130.82236591550003,0.09331974882481764,0.07793831683983576,-0.015381431984981875,56.37857898634617,52.334420454884544,NaN,NaN,0.8173710398524127,0.44509310397576846,18.43003412969283,94.83619884815208,91.27801434103714,50.90598687686454,49.00004190011555,NaN,NaN
2011-12-15T00:00:00Z,3.39,3.45,3.39,3.45,102.74202898,121.43312857500003,0.08248697535976408,0.08772728721472323,0.005240311854959146,55.88315635102109,53.144142083502565,NaN,NaN,0.7945331159737179,0.38272013610600925,17.74744027303754,86.49132056312435,91.83482004286253,44.99159773501855,49.02118848461837,NaN,NaN
